video_id,match_id,set_num,rally,ball_round,shot_type,original_type,player,player_x,player_y,frame_num,clip_path,pose_path
01_set1_rally01_ball02_Clear,1,1,1,2,Clear,Clear,B,598.0,394.0,11582,data/clips/Clear/01_set1_rally01_ball02_Clear.mp4,data/poses/01_set1_rally01_ball02_Clear.pkl
01_set1_rally02_ball03_Smash,1,1,2,3,Smash,Smash,A,558.0,613.0,11921,data/clips/Smash/01_set1_rally02_ball03_Smash.mp4,data/poses/01_set1_rally02_ball03_Smash.pkl
01_set1_rally02_ball06_Drive,1,1,2,6,Drive,Drive,B,643.0,366.0,11965,data/clips/Drive/01_set1_rally02_ball06_Drive.mp4,data/poses/01_set1_rally02_ball06_Drive.pkl
01_set1_rally03_ball02_Drop,1,1,3,2,Drop,Drop,B,571.0,393.0,12313,data/clips/Drop/01_set1_rally03_ball02_Drop.mp4,data/poses/01_set1_rally03_ball02_Drop.pkl
01_set1_rally03_ball03_Lift,1,1,3,3,Lift,Lift,A,517.0,511.0,12331,data/clips/Lift/01_set1_rally03_ball03_Lift.mp4,data/poses/01_set1_rally03_ball03_Lift.pkl
01_set1_rally03_ball04_Smash,1,1,3,4,Smash,Smash,B,559.0,327.0,12362,data/clips/Smash/01_set1_rally03_ball04_Smash.mp4,data/poses/01_set1_rally03_ball04_Smash.pkl
01_set1_rally03_ball06_Lift,1,1,3,6,Lift,Lift,B,722.0,386.0,12400,data/clips/Lift/01_set1_rally03_ball06_Lift.mp4,data/poses/01_set1_rally03_ball06_Lift.pkl
01_set1_rally03_ball07_Smash,1,1,3,7,Smash,Steep_Smash,A,586.0,643.0,12429,data/clips/Smash/01_set1_rally03_ball07_Smash.mp4,data/poses/01_set1_rally03_ball07_Smash.pkl
01_set1_rally03_ball10_Drop,1,1,3,10,Drop,Drop,B,728.0,412.0,12492,data/clips/Drop/01_set1_rally03_ball10_Drop.mp4,data/poses/01_set1_rally03_ball10_Drop.pkl
01_set1_rally03_ball11_Lift,1,1,3,11,Lift,Lift,A,749.0,499.0,12516,data/clips/Lift/01_set1_rally03_ball11_Lift.mp4,data/poses/01_set1_rally03_ball11_Lift.pkl
